Time,ETH number of daily transactions on the chain,Price
2017-11-01,521976,303.97839355
2017-11-02,539038,288.53674316
2017-11-03,500373,288.54013062
2017-11-04,420469,301.08969116
2017-11-05,403307,296.11221313
2017-11-06,472996,304.67962646
2017-11-07,497725,292.50341797
2017-11-08,458929,300.17822266
2017-11-09,484538,309.02648926
2017-11-10,447845,305.67684937
2017-11-11,421015,302.44009399
2017-11-12,435550,307.16217041
2017-11-13,439701,316.65597534
2017-11-14,456385,321.51168823
2017-11-15,519217,335.67129517
2017-11-16,500572,331.2515564
2017-11-17,527952,333.92260742
2017-11-18,473011,329.41586304
2017-11-19,449378,357.2210083
2017-11-20,507333,361.82946777
2017-11-21,529870,369.5612793
2017-11-22,543224,363.42944336
2017-11-23,534787,412.79376221
2017-11-24,526149,412.22106934
2017-11-25,582150,474.94006348
2017-11-26,512176,460.09057617
2017-11-27,596422,480.62976074
2017-11-28,632945,480.12127686
2017-11-29,646205,496.43261719
2017-11-30,651132,408.70800781
2017-12-01,641016,456.96066284
2017-12-02,625443,469.29055786
2017-12-03,642128,462.17077637
2017-12-04,712422,466.52502441
2017-12-05,713651,468.7321167
2017-12-06,763422,456.16897583
2017-12-07,696178,425.63070679
2017-12-08,726526,453.54656982
2017-12-09,736665,471.6619873
2017-12-10,716602,452.13876343
2017-12-11,806220,473.95916748
2017-12-12,823580,535.36328125
2017-12-13,911003,618.68151855
2017-12-14,919706,692.40600586
2017-12-15,927417,696.08081055
2017-12-16,897615,699.24981689
2017-12-17,884771,716.13946533
2017-12-18,926909,732.18762207
2017-12-19,1090329,820.32086182
2017-12-20,999424,805.95758057
2017-12-21,1053582,795.32440186
2017-12-22,1109544,655.90209961
2017-12-23,961108,736.55804443
2017-12-24,848212,653.69824219
2017-12-25,748457,757.78100586
2017-12-26,739438,773.18463135
2017-12-27,907095,781.16693115
2017-12-28,943499,739.44537354
2017-12-29,1019822,754.77386475
2017-12-30,1169572,709.14361572
2017-12-31,963666,723.21386719
2018-01-01,921621,769.96173096
2018-01-02,1066915,886.34436035
2018-01-03,1229867,882.25628662
2018-01-04,1287725,954.21325684
2018-01-05,1319628,1045.29394531
2018-01-06,1278317,1002.57525635
2018-01-07,1128451,1090.83947754
2018-01-08,1199593,1088.60693359
2018-01-09,1251747,1209.15039063
2018-01-10,1218734,1364.84814453
2018-01-11,1174531,1228.5994873
2018-01-12,1125398,1247.54699707
2018-01-13,1140661,1295.71936035
2018-01-14,1149089,1392.17797852
2018-01-15,1122412,1346.0513916
2018-01-16,1269457,1242.75341797
2018-01-17,1254066,954.39715576
2018-01-18,1264617,1025.27148438
2018-01-19,1119561,1061.92993164
2018-01-20,1006701,1075.56970215
2018-01-21,949893,1134.66638184
2018-01-22,976654,960.67419434
2018-01-23,973627,1013.98480225
2018-01-24,931440,1031.86169434
2018-01-25,874759,1034.74243164
2018-01-26,847303,1050.9720459
2018-01-27,869470,1095.18273926
2018-01-28,873214,1129.69506836
2018-01-29,933304,1200.52368164
2018-01-30,881220,1145.86450195
2018-01-31,909813,1102.71533203
2018-02-01,935513,1138.50561523
2018-02-02,1056443,954.35913086
2018-02-03,843638,955.11651611
2018-02-04,798069,864.21588135
2018-02-05,822587,836.07806396
2018-02-06,915423,742.73553467
2018-02-07,837909,812.49127197
2018-02-08,746704,806.39074707
2018-02-09,713247,806.53649902
2018-02-10,866049,847.33850098
2018-02-11,762541,852.11810303
2018-02-12,843321,856.97296143
2018-02-13,780280,857.95758057
2018-02-14,713128,902.66778564
2018-02-15,785043,933.9887085
2018-02-16,718698,938.65093994
2018-02-17,740649,961.27746582
2018-02-18,790996,944.79455566
2018-02-19,760409,931.19909668
2018-02-20,892277,942.46661377
2018-02-21,835376,849.50537109
2018-02-22,839789,825.77062988
2018-02-23,725289,838.43707275
2018-02-24,715783,837.11804199
2018-02-25,724238,827.74163818
2018-02-26,708035,876.27520752
2018-02-27,706791,871.24755859
2018-02-28,721726,888.44708252
2018-03-01,685019,867.03179932
2018-03-02,728322,855.5411377
2018-03-03,708010,864.79095459
2018-03-04,640939,847.83050537
2018-03-05,738410,867.68896484
2018-03-06,709294,832.01580811
2018-03-07,778214,812.98974609
2018-03-08,716574,741.19873047
2018-03-09,662243,701.0189209
2018-03-10,600859,732.93408203
2018-03-11,586526,708.91540527
2018-03-12,665416,697.64099121
2018-03-13,699555,696.71765137
2018-03-14,684920,656.14129639
2018-03-15,666591,588.16638184
2018-03-16,617645,598.66394043
2018-03-17,626025,598.8447876
2018-03-18,645088,466.09069824
2018-03-19,703281,551.63769531
2018-03-20,681516,556.75140381
2018-03-21,692248,567.94128418
2018-03-22,663126,531.77514648
2018-03-23,632294,516.39605713
2018-03-24,658479,541.47979736
2018-03-25,541728,520.65631104
2018-03-26,568666,522.40966797
2018-03-27,630414,468.53948975
2018-03-28,579079,451.23880005
2018-03-29,577422,441.78762817
2018-03-30,617768,378.60897827
2018-03-31,592996,403.10812378
2018-04-01,567293,364.76593018
2018-04-02,584408,391.7276001
2018-04-03,622774,406.29595947
2018-04-04,639101,404.4602356
2018-04-05,677403,378.5619812
2018-04-06,668856,379.6869812
2018-04-07,565022,381.07391357
2018-04-08,578971,401.61642456
2018-04-09,615825,396.41854858
2018-04-10,567260,400.10852051
2018-04-11,603706,420.70452881
2018-04-12,667168,463.97998047
2018-04-13,720464,514.11553955
2018-04-14,643700,506.67218018
2018-04-15,604836,510.55157471
2018-04-16,654234,504.92443848
2018-04-17,714419,507.29470825
2018-04-18,716203,506.82980347
2018-04-19,774583,545.71136475
2018-04-20,845709,585.83795166
2018-04-21,776689,607.55621338
2018-04-22,728993,632.79296875
2018-04-23,795011,644.73077393
2018-04-24,809984,667.34545898
2018-04-25,804813,672.1696167
2018-04-26,799793,618.38543701
2018-04-27,762638,673.49182129
2018-04-28,777341,666.2177124
2018-04-29,764014,681.65808105
2018-04-30,762492,683.4161377
2018-05-01,756099,644.34356689
2018-05-02,754954,682.49395752
2018-05-03,814602,746.64105225
2018-05-04,894591,771.74206543
2018-05-05,953378,819.67333984
2018-05-06,669075,825.15466309
2018-05-07,782681,756.71264648
2018-05-08,802677,737.20391846
2018-05-09,829876,724.54400635
2018-05-10,845615,762.02600098
2018-05-11,828861,731.71264648
2018-05-12,814134,679.3951416
2018-05-13,784629,727.16363525
2018-05-14,753437,702.7086792
2018-05-15,798263,718.53155518
2018-05-16,803973,685.74499512
2018-05-17,818554,707.81286621
2018-05-18,828783,679.48406982
2018-05-19,858695,695.66363525
2018-05-20,801097,713.50311279
2018-05-21,769506,713.80505371
2018-05-22,813644,683.32940674
2018-05-23,841666,603.68988037
2018-05-24,821593,599.28314209
2018-05-25,799050,602.76623535
2018-05-26,786746,604.77606201
2018-05-27,754504,573.9463501
2018-05-28,853558,533.34875488
2018-05-29,811916,527.29974365
2018-05-30,825470,552.78033447
2018-05-31,846052,577.21264648
2018-06-01,755973,574.48913574
2018-06-02,761763,578.54296875
2018-06-03,824213,594.17651367
2018-06-04,812164,619.347229
2018-06-05,773810,594.77947998
2018-06-06,769515,611.47528076
2018-06-07,774524,607.6987915
2018-06-08,743588,605.52856445
2018-06-09,721879,607.050354
2018-06-10,773670,569.99615479
2018-06-11,784878,534.60144043
2018-06-12,744187,529.2253418
2018-06-13,808394,466.81652832
2018-06-14,762220,488.07028198
2018-06-15,747384,505.40997314
2018-06-16,718993,494.14157104
2018-06-17,640188,502.80886841
2018-06-18,664890,497.6065979
2018-06-19,757534,516.79144287
2018-06-20,792197,521.35968018
2018-06-21,778320,542.37335205
2018-06-22,772594,473.28866577
2018-06-23,716977,469.70175171
2018-06-24,649758,426.46948242
2018-06-25,769140,465.23287964
2018-06-26,766082,458.76348877
2018-06-27,791744,434.13684082
2018-06-28,752402,433.66781616
2018-06-29,739131,422.68499756
2018-06-30,631491,448.35598755
2018-07-01,621414,451.76501465
2018-07-02,500513,475.32598877
2018-07-03,591041,470.97000122
2018-07-04,475058,474.20401001
2018-07-05,556982,477.81698608
2018-07-06,432569,471.25900269
2018-07-07,485083,471.04098511
2018-07-08,578132,492.42800903
2018-07-09,687349,484.17700195
2018-07-10,654753,441.7869873
2018-07-11,701382,444.51901245
2018-07-12,540853,431.26300049
2018-07-13,594375,440.19000244
2018-07-14,472496,437.56298828
2018-07-15,416641,452.46899414
2018-07-16,718473,449.3789978
2018-07-17,707613,473.6960144
2018-07-18,732498,493.13500977
2018-07-19,719403,476.35198975
2018-07-20,713636,459.51400757
2018-07-21,614258,455.70498657
2018-07-22,645437,468.82400513
2018-07-23,730731,463.58099365
2018-07-24,794081,453.04299927
2018-07-25,786526,466.80200195
2018-07-26,726084,475.75500488
2018-07-27,807192,464.89801025
2018-07-28,721776,469.59500122
2018-07-29,728567,466.79699707
2018-07-30,735128,464.28100586
2018-07-31,744820,452.71704102
2018-08-01,759680,418.51538086
2018-08-02,756652,413.97015381
2018-08-03,757786,403.26046753
2018-08-04,735645,406.00280762
2018-08-05,710414,408.90481567
2018-08-06,694167,408.21939087
2018-08-07,676061,410.38409424
2018-08-08,543124,368.50820923
2018-08-09,574410,361.72634888
2018-08-10,576992,362.50222778
2018-08-11,657231,321.83587646
2018-08-12,631430,324.58312988
2018-08-13,705602,321.13269043
2018-08-14,675857,268.85174561
2018-08-15,656035,286.58566284
2018-08-16,697364,293.16366577
2018-08-17,623073,298.18359375
2018-08-18,650039,312.79956055
2018-08-19,613009,300.91165161
2018-08-20,626294,289.58407593
2018-08-21,645952,277.46426392
2018-08-22,600455,292.28509521
2018-08-23,590488,274.01196289
2018-08-24,580162,275.43688965
2018-08-25,589580,282.00238037
2018-08-26,577562,275.39273071
2018-08-27,635378,273.97457886
2018-08-28,630376,289.15997314
2018-08-29,556281,289.28250122
2018-08-30,583488,280.12875366
2018-08-31,563275,278.79541016
2018-09-01,627192,295.68313599
2018-09-02,653563,292.22320557
2018-09-03,642994,289.88180542
2018-09-04,573350,289.47851563
2018-09-05,631844,257.61624146
2018-09-06,604532,228.38856506
2018-09-07,585615,231.10040283
2018-09-08,518921,217.99169922
2018-09-09,578315,190.80628967
2018-09-10,576267,195.61668396
2018-09-11,559078,185.09275818
2018-09-12,546257,172.70466614
2018-09-13,577848,202.66493225
2018-09-14,535478,208.40078735
2018-09-15,472887,224.01403809
2018-09-16,461504,216.15457153
2018-09-17,530422,222.97711182
2018-09-18,515005,196.33753967
2018-09-19,511121,210.1486969
2018-09-20,498032,209.52790833
2018-09-21,523408,223.11013794
2018-09-22,497041,241.37475586
2018-09-23,466088,241.40855408
2018-09-24,472385,232.47236633
2018-09-25,528288,222.22172546
2018-09-26,498968,221.0927124
2018-09-27,491837,217.59713745
2018-09-28,520979,226.0748291
2018-09-29,427999,231.66853333
2018-09-30,481371,234.12156677
2018-10-01,458514,233.16940308
2018-10-02,469429,227.55273438
2018-10-03,551190,219.16912842
2018-10-04,559604,224.94371033
2018-10-05,587912,221.67993164
2018-10-06,601622,225.40007019
2018-10-07,536230,226.03083801
2018-10-08,523158,225.35081482
2018-10-09,542277,227.53782654
2018-10-10,535655,226.28916931
2018-10-11,537282,200.70567322
2018-10-12,576725,199.06156921
2018-10-13,529640,197.74105835
2018-10-14,528717,200.49247742
2018-10-15,556661,209.54171753
2018-10-16,566648,208.42079163
2018-10-17,568910,210.58654785
2018-10-18,589053,208.0823822
2018-10-19,573964,203.44036865
2018-10-20,561046,203.95391846
2018-10-21,491312,207.38040161
2018-10-22,569990,204.68469238
2018-10-23,576744,202.32518005
2018-10-24,536973,203.35398865
2018-10-25,521722,202.63148499
2018-10-26,543136,202.6627655
2018-10-27,523686,203.7277832
2018-10-28,509445,205.05267334
2018-10-29,584654,205.18717957
2018-10-30,613603,197.40827942
2018-10-31,589388,197.16949463
2018-11-01,578880,199.52622986
2018-11-02,568925,199.80334473
2018-11-03,520169,199.97109985
2018-11-04,495053,199.96685791
2018-11-05,585053,208.54122925
2018-11-06,580257,208.02682495
2018-11-07,582111,217.27890015
2018-11-08,559307,214.61178589
2018-11-09,553406,210.01855469
2018-11-10,491196,210.95387268
2018-11-11,518422,211.98426819
2018-11-12,566040,211.47625732
2018-11-13,560160,209.03872681
2018-11-14,550811,193.8629303
2018-11-15,594970,177.40956116
2018-11-16,551893,177.45750427
2018-11-17,513158,173.49142456
2018-11-18,489755,175.74108887
2018-11-19,575911,155.93885803
2018-11-20,631166,149.12464905
2018-11-21,600439,133.94046021
2018-11-22,576950,132.03199768
2018-11-23,563926,123.4414978
2018-11-24,495852,122.13981628
2018-11-25,524720,106.08036041
2018-11-26,551881,109.50065613
2018-11-27,558078,104.66004181
2018-11-28,609660,112.06407928
2018-11-29,572334,117.27232361
2018-11-30,591582,118.7940008
2018-12-01,553742,118.70929896
2018-12-02,492215,117.77186347
2018-12-03,534916,108.20283119
2018-12-04,551752,112.25761995
2018-12-05,585398,107.93569236
2018-12-06,602331,98.43298295
2018-12-07,585136,85.67439262
2018-12-08,537928,89.83262355
2018-12-09,528868,92.34965863
2018-12-10,550849,91.06091623
2018-12-11,549841,91.05720962
2018-12-12,526720,88.94143673
2018-12-13,557783,89.83586696
2018-12-14,552474,86.50444511
2018-12-15,560213,82.82989029
2018-12-16,523700,87.07905
2018-12-17,553571,85.75534949
2018-12-18,561367,95.89627885
2018-12-19,602667,103.94602218
2018-12-20,587319,102.31148661
2018-12-21,629752,115.40394444
2018-12-22,502469,108.73326358
2018-12-23,546746,129.56706478
2018-12-24,603909,151.87638344
2018-12-25,535014,125.1463481
2018-12-26,560918,134.6052846
2018-12-27,567398,124.82665446
2018-12-28,555432,127.55277866
2018-12-29,541617,136.78863171
2018-12-30,482938,135.11526172
2018-12-31,499125,136.55651101
2019-01-01,481781,133.29395771
2019-01-02,536019,141.31147374
2019-01-03,613379,153.6462316
2019-01-04,562161,149.64903937
2019-01-05,513950,159.80673399
2019-01-06,481792,153.45698999
2019-01-07,546294,153.01671371
2019-01-08,560561,149.37027626
2019-01-09,550965,151.00054544
2019-01-10,579748,151.14186113
2019-01-11,564177,127.75900722
2019-01-12,460628,126.94171779
2019-01-13,472666,126.25925105
2019-01-14,518214,118.43255169
2019-01-15,589205,127.27935124
2019-01-16,519571,122.07125492
2019-01-17,511736,122.14025857
2019-01-18,536096,122.55786307
2019-01-19,526018,121.67946858
2019-01-20,555836,119.67858312
2019-01-21,547002,118.80220738
2019-01-22,617698,118.78417225
2019-01-23,548693,118.28204602
2019-01-24,531037,116.25489292
2019-01-25,501906,116.68306815
2019-01-26,464560,116.87688759
2019-01-27,487290,114.26995758
2019-01-28,537473,104.57044664
2019-01-29,567736,105.4210247
2019-01-30,566404,105.70168381
2019-01-31,525672,107.26888187
2019-02-01,512698,107.59140987
2019-02-02,447691,107.71315672
2019-02-03,428438,107.98136174
2019-02-04,397928,107.52241756
2019-02-05,433605,107.37913618
2019-02-06,428796,103.82808572
2019-02-07,436722,104.93407216
2019-02-08,443282,104.87060527
2019-02-09,442645,118.53311868
2019-02-10,390609,119.27010717
2019-02-11,423793,121.08514382
2019-02-12,421946,120.68742194
2019-02-13,495473,122.18117957
2019-02-14,478599,122.48043983
2019-02-15,460466,122.45746216
2019-02-16,459820,123.47624514
2019-02-17,445997,126.16862795
2019-02-18,506951,138.15369949
2019-02-19,526665,147.34385672
2019-02-20,519282,146.57131195
2019-02-21,530313,148.19528426
2019-02-22,552253,147.06811479
2019-02-23,478165,148.43684493
2019-02-24,511654,142.05625495
2019-02-25,557116,140.59732835
2019-02-26,591458,138.23506213
2019-02-27,535061,139.58803746
2019-02-28,562453,137.52803404
2019-03-01,536847,137.21671737
2019-03-02,519937,136.96863639
2019-03-03,505568,133.11580836
2019-03-04,588048,130.9071094
2019-03-05,607332,127.49446416
2019-03-06,590557,136.72702875
2019-03-07,561454,138.38331763
2019-03-08,586227,137.32476757
2019-03-09,551058,135.73967075
2019-03-10,498757,137.24920323
2019-03-11,518730,133.13953812
2019-03-12,562965,134.18561315
2019-03-13,573638,133.91192004
2019-03-14,579028,133.8693986
2019-03-15,554629,137.94602591
2019-03-16,505301,140.92073362
2019-03-17,500277,139.71073077
2019-03-18,564065,141.70926769
2019-03-19,607001,140.37596934
2019-03-20,625928,139.04297302
2019-03-21,640634,140.49319159
2019-03-22,607159,137.99054146
2019-03-23,589540,138.13637195
2019-03-24,544052,137.38351924
2019-03-25,632947,137.29619292
2019-03-26,627673,134.54907912
2019-03-27,628628,138.79906486
2019-03-28,636283,140.08666645
2019-03-29,630063,141.11003445
2019-03-30,654126,141.75563232
2019-03-31,665003,141.33903634
2019-04-01,679469,141.95795209
2019-04-02,727794,155.30580585
2019-04-03,751813,172.3784242
2019-04-04,696635,161.00075944
2019-04-05,632409,157.96895157
2019-04-06,583138,164.15215602
2019-04-07,562574,167.41791427
2019-04-08,665431,181.47476599
2019-04-09,647714,176.75935781
2019-04-10,666334,179.95481499
2019-04-11,697233,170.92096153
2019-04-12,730240,164.60809741
2019-04-13,638161,166.02566469
2019-04-14,552723,163.36104794
2019-04-15,607676,167.94815433
2019-04-16,654932,161.6683869
2019-04-17,678331,166.78417448
2019-04-18,672867,172.40799497
2019-04-19,718009,172.94030323
2019-04-20,614586,173.41674371
2019-04-21,704511,169.15920588
2019-04-22,678091,168.73080473
2019-04-23,751155,172.36556919
2019-04-24,676671,165.14392855
2019-04-25,685103,164.45659778
2019-04-26,684116,156.27757254
2019-04-27,571664,156.7740696
2019-04-28,593663,158.46459193
2019-04-29,615483,154.13417146
2019-04-30,667313,159.73955992
2019-05-01,721016,160.84499421
2019-05-02,624507,160.95919325
2019-05-03,677357,162.70316199
2019-05-04,648681,162.28141439
2019-05-05,608654,163.42616626
2019-05-06,703271,161.43477238
2019-05-07,682894,173.12724369
2019-05-08,667024,169.39350477
2019-05-09,696307,168.8154455
2019-05-10,727755,172.79554142
2019-05-11,754167,176.78295696
2019-05-12,718052,193.07480365
2019-05-13,731823,201.3120468
2019-05-14,825862,206.6510451
2019-05-15,808008,235.8972991
2019-05-16,889978,273.63561907
2019-05-17,861906,231.06130806
2019-05-18,753644,242.35294916
2019-05-19,753335,254.93370101
2019-05-20,830161,247.31109249
2019-05-21,843060,251.44507282
2019-05-22,845546,255.13805145
2019-05-23,841309,243.48263594
2019-05-24,885120,253.58425432
2019-05-25,842329,251.97048299
2019-05-26,829895,249.42906149
2019-05-27,865524,272.6353354
2019-05-28,948376,270.80549798
2019-05-29,892636,269.20298445
2019-05-30,961517,286.16032829
2019-05-31,836080,254.55683686
2019-06-01,889341,269.89409866
2019-06-02,964814,265.99425257
2019-06-03,880223,269.67947635
2019-06-04,915575,249.52699362
2019-06-05,832075,240.82336916
2019-06-06,802926,243.46136036
2019-06-07,768204,250.06909752
2019-06-08,902502,249.49875328
2019-06-09,851988,243.25500568
2019-06-10,756299,235.13546214
2019-06-11,1067778,240.85089069
2019-06-12,914300,248.62021604
2019-06-13,723891,260.22363801
2019-06-14,788943,258.27281611
2019-06-15,941761,265.11867876
2019-06-16,859004,272.88462185
2019-06-17,940337,270.44971705
2019-06-18,895117,267.17305217
2019-06-19,834217,266.99919451
2019-06-20,1024748,270.06514542
2019-06-21,836248,279.74676755
2019-06-22,770820,304.72963984
2019-06-23,705749,311.39248258
2019-06-24,848539,308.00093794
2019-06-25,908803,311.30134191
2019-06-26,835339,330.85495854
2019-06-27,845601,307.31087852
2019-06-28,833984,307.25835227
2019-06-29,931138,297.52159415
2019-06-30,690428,297.37414316
2019-07-01,872344,299.79081422
2019-07-02,841201,288.35521984
2019-07-03,880775,295.92959599
2019-07-04,748528,295.66938295
2019-07-05,783265,285.83090685
2019-07-06,833861,295.18927348
2019-07-07,591529,288.83300191
2019-07-08,777241,305.24923115
2019-07-09,760258,316.07101752
2019-07-10,756002,310.58157195
2019-07-11,791216,283.99714584
2019-07-12,928257,272.81284205
2019-07-13,599379,273.51096041
2019-07-14,593785,235.1578918
2019-07-15,732197,230.38300709
2019-07-16,875384,221.84767807
2019-07-17,955758,198.42058013
2019-07-18,693396,224.34023034
2019-07-19,776694,223.01852402
2019-07-20,629855,226.9043363
2019-07-21,545381,225.50760783
2019-07-22,621302,215.78268766
2019-07-23,613164,217.23590134
2019-07-24,805121,215.18162369
2019-07-25,850486,222.23141333
2019-07-26,824103,216.76268528
2019-07-27,596794,222.42141267
2019-07-28,557227,207.79524287
2019-07-29,659716,213.26799038
2019-07-30,708700,212.60851121
2019-07-31,692025,212.37162749
2019-08-01,775810,214.66226136
2019-08-02,777544,221.16568616
2019-08-03,902596,221.20734343
2019-08-04,555704,222.03981343
2019-08-05,694160,230.24690418
2019-08-06,726366,229.85834506
2019-08-07,739409,224.72117032
2019-08-08,733758,226.05403909
2019-08-09,692791,210.10533079
2019-08-10,638537,211.63543068
2019-08-11,600122,210.6548487
2019-08-12,695753,213.82364617
2019-08-13,691389,206.09014466
2019-08-14,727818,205.36691407
2019-08-15,706133,186.01241401
2019-08-16,689798,187.88629369
2019-08-17,686672,184.65766072
2019-08-18,625946,184.28067701
2019-08-19,709199,196.41888543
2019-08-20,744949,197.50548253
2019-08-21,720256,183.72338414
2019-08-22,744578,191.27614199
2019-08-23,735829,194.81554139
2019-08-24,706453,188.25622043
2019-08-25,668366,190.08217567
2019-08-26,737154,191.49841012
2019-08-27,752349,187.10460695
2019-08-28,714036,187.5771005
2019-08-29,743908,170.68617588
2019-08-30,708514,168.71978307
2019-08-31,685869,169.82392168
2019-09-01,689087,170.71440414
2019-09-02,738889,173.0448614
2019-09-03,760107,179.17299517
2019-09-04,715517,176.83746889
2019-09-05,748735,175.49971565
2019-09-06,764959,176.87097157
2019-09-07,706853,169.97234473
2019-09-08,672214,182.34361372
2019-09-09,741572,181.8847563
2019-09-10,695526,180.17223554
2019-09-11,720117,180.29132512
2019-09-12,712136,180.31877483
2019-09-13,624385,178.91011263
2019-09-14,623933,180.71247343
2019-09-15,622947,186.54826578
2019-09-16,740721,194.27766815
2019-09-17,684867,197.83365607
2019-09-18,668280,211.14320706
2019-09-19,692486,205.91359757
2019-09-20,753399,219.42755156
2019-09-21,621709,218.298517
2019-09-22,582906,211.03004565
2019-09-23,626641,210.15486902
2019-09-24,658607,201.97549017
2019-09-25,697817,171.1763985
2019-09-26,672081,169.40640372
2019-09-27,623523,165.66021136
2019-09-28,620236,171.60774862
2019-09-29,605462,172.66037788
2019-09-30,646165,169.11750378
2019-10-01,659796,183.09185855
2019-10-02,628930,176.65458977
2019-10-03,611578,173.24897594
2019-10-04,605537,176.13673365
2019-10-05,581107,175.83818171
2019-10-06,590083,175.75412517
2019-10-07,604658,173.71060389
2019-10-08,697502,179.48679056
2019-10-09,739552,181.18882968
2019-10-10,728331,192.44363397
2019-10-11,701705,194.02723587
2019-10-12,644284,185.03068545
2019-10-13,579074,184.61459905
2019-10-14,635428,182.92572234
2019-10-15,680207,183.05058324
2019-10-16,694405,180.47406874
2019-10-17,695278,175.33111852
2019-10-18,733579,176.88636904
2019-10-19,678603,174.44228878
2019-10-20,614912,174.01950917
2019-10-21,688061,175.13990791
2019-10-22,708084,173.88437924
2019-10-23,722454,167.87755694
2019-10-24,733555,162.71239592
2019-10-25,726929,174.89685151
2019-10-26,742148,180.94152815
2019-10-27,636879,178.31770981
2019-10-28,725492,185.19086666
2019-10-29,708811,184.40985758
2019-10-30,702562,189.56678726
2019-10-31,747277,184.39415398
2019-11-01,726801,181.86176603
2019-11-02,616659,184.60689245
2019-11-03,564439,182.36803089
2019-11-04,646204,182.34832579
2019-11-05,721930,186.49517919
2019-11-06,734931,191.54946715
2019-11-07,835876,189.87931995
2019-11-08,722628,187.63377229
2019-11-09,626555,184.18965206
2019-11-10,599046,187.214747
2019-11-11,692685,189.51865776
2019-11-12,692155,185.20902232
2019-11-13,728665,187.50289847
2019-11-14,685678,185.76090437
2019-11-15,677922,183.63831525
2019-11-16,628732,181.19478166
2019-11-17,567747,183.14235983
2019-11-18,705423,183.899177
2019-11-19,763972,176.76744756
2019-11-20,686925,176.82053197
2019-11-21,724079,175.84320407
2019-11-22,791627,161.0926327
2019-11-23,693896,152.58598227
2019-11-24,595477,147.56782166
2019-11-25,744208,138.16655543
2019-11-26,678436,146.93194631
2019-11-27,673295,148.09769753
2019-11-28,651107,153.43449641
2019-11-29,649665,152.685764
2019-11-30,607320,155.91974526
2019-12-01,596935,150.2851226
2019-12-02,690281,148.10068995
2019-12-03,618501,149.26220817
2019-12-04,624383,145.78687285
2019-12-05,655425,146.00921879
2019-12-06,579743,148.91537747
